amount,end_block,start_block,borrower,account,no_of_block
523.2785573233489,20487307,20379307,0xcF63E1C31805254b6fB3Ed7829206c2b2505e3a7,0x79F29C04be9D264808880E30dd3727A2f4e7f89d,108000
453.78112127666475,20487307,20379307,0x41c66454192d0d6A923847987f8F80AcB7c6C466,0x7B2bc305D460D8cdA9F2ce8177127670CE8f4Aa6,108000
172.441296711619,20487307,20379307,0xd9Da13DE745bfa50FFAAFD0a531B92f0511B72Cf,0x7D4Ae2d563C8ab1F4Bac45E0c2135774cac61B23,108000
582.3773146926872,20487307,20379307,0x316BE293C8f2380769e7b7e7382679FE5a3b6600,0x8137351530f9CD81C87EAe9457A6CAF9f910f000,108000
66.37955847984962,20487307,20379307,0xEFE258E7e68beFF37b13524a3B4E1eAD78e7B584,0x84743851079e4471477752F04205B064CE82e2Bd,108000
41.221530932327944,20487307,20379307,0xCfaba3994C45aa03e479000300801AE35B39c388,0x850b518BCBC3cEFdfA7C8Ed9EC849908c26D3D62,108000
319.5428463070996,20487307,20379307,0xd9Da13DE745bfa50FFAAFD0a531B92f0511B72Cf,0x862B04EBeF4b8718d15B51A001d3406aCB7b50B3,108000
684.2863810642644,20487307,20379307,0x9CE6E6B60C894d1DF9BC3D9D6cC969b79FB176B7,0x882485E77337574F23088c2323dDb0Dc44954C47,108000
17.656773824734817,20487307,20379307,0x0B7917b62BC98967e06e80EFBa9aBcAcCF3d4928,0x8bcb2bD80bE08dF2192b37aF044b9F9f636CFFea,108000
100,20487307,20379307,0x9CBF099ff424979439dFBa03F00B5961784c06ce,0x8dE7DbDA333991adbe4c5b778b20b20305E04A4E,108000
5.217154820514648,20380601,20379307,0x4444A136b1445B1f5e4a20656854adCF6Fa3d667,0x8E263228459CC61067693cD74F26A101532a79d0,1294
626.5080320597075,20487307,20379307,0xda59e985FC9A6c7F3f8E5C92038A1EeACfcfC297,0x8ea368888F7639ad055567d9a39E0b9154F8B397,108000
